CHROM	GeneStart	GeneEnd	GeneName
MT	648	1601	MT-RNR1
MT	1671	3229	MT-RNR2
MT	3230	3304	MT-TL1
MT	3307	4262	MT-ND1
MT	4402	4469	MT-TM
MT	4470	5511	MT-ND2
MT	5904	7445	MT-CO1
MT	7586	8269	MT-CO2
MT	8366	8572	MT-ATP8
MT	8527	9207	MT-ATP6
MT	9207	9990	MT-CO3
MT	10059	10404	MT-ND3
MT	10470	10766	MT-ND4L
MT	10760	12137	MT-ND4
MT	12337	14148	MT-ND5
MT	14149	14673	MT-ND6
MT	14747	15887	MT-CYB
MT	15956	16023	MT-TP
X	276322	303356	PLCXD1
Y	276322	303356	PLCXD1
X	304529	318819	GTPBP6
Y	304529	318819	GTPBP6
X	333963	386955	PPP2R3B
Y	333963	386955	PPP2R3B
X	1268800	1310381	CSF2RA
Y	1268800	1310381	CSF2RA
X	1336616	1382689	IL3RA
Y	1336616	1382689	IL3RA
X	1386152	1392724	SLC25A6
Y	1386152	1392724	SLC25A6
X	1401769	1414028	ASMTL-AS1
Y	1401769	1414028	ASMTL-AS1
X	1403139	1453762	ASMTL
Y	1403139	1453762	ASMTL
X	1591593	1602514	AKAP17A
Y	1591593	1602514	AKAP17A
X	2219516	2502805	DHRSX
Y	2219516	2502805	DHRSX
X	2486414	2500967	ZBED1
Y	2486414	2500967	ZBED1
X	2691179	2741309	CD99
Y	2691179	2741309	CD99
X	2828788	2882820	GYG2
X	2903970	2929351	ARSD
X	2934632	2968310	ARSE
X	3041471	3112726	ARSF
X	3308565	3346641	MXRA5
X	3604370	3713608	PRKX
X	3817528	3843857	BX890604.1
X	3853010	3882317	FAM239A
X	3891438	3920746	FAM239B
X	5840637	6228863	NLGN4X
X	7048920	7148190	PUDP
X	7219456	7354810	STS
X	7898247	7927739	PNPLA4
X	8528874	8732186	ANOS1
X	9463295	9719743	TBL1X
X	9725346	9786297	GPR143
X	9786456	9949443	SHROOM2
X	10015562	10144478	WWC3
X	10156945	10237660	CLCN4
X	10445310	10833654	MID1
X	11111301	11123078	HCCS
X	11137543	11665701	ARHGAP6
X	11758159	11775753	MSL3
X	12138466	12724523	FRMPD4
X	12791355	12824222	PRPS2
X	12867083	12890380	TLR7
X	12906620	12923169	TLR8
X	12975108	12977227	TMSB4X
X	13653189	13681964	TCEANC
X	13689125	13710506	RAB9A
X	13712244	13734635	TRAPPC2
X	13734745	13769353	OFD1
X	13771031	13938638	GPM6B
X	14008279	14029893	GEMIN8
X	14529298	14731812	GLRA2
X	14843407	14873069	FANCB
X	14873441	14922327	MOSPD2
X	15319451	15335580	PIGA
X	15345591	15384376	VEGFD
X	15384799	15493564	PIR
X	15674932	15703724	CA5BP1
X	15688830	15788409	CA5B
X	15790472	15823260	ZRSR2
X	15825806	15854931	AP1S2
X	16588003	16712936	CTPS2
X	16719632	16765336	SYAP1
X	16786427	16844519	TXLNG
X	16839283	16870414	RBBP7
X	16946691	17153280	REPS2
X	17375420	17735994	NHS
X	17737449	17754988	SCML1
X	17800049	17861337	RAI2
X	18239314	18354727	SCML2
X	18425583	18653629	CDKL5
X	18675909	18827921	PPEF1
X	18892300	18984598	PHKA2
X	19343893	19361705	PDHA1
X	19533975	19887601	SH3KBP1
X	19912860	19970298	BCLAF3
X	20006713	20116917	MAP7D2
X	20124518	20141844	EIF1AX
X	20149911	20267100	RPS6KA3
X	21374418	21654695	CNKSR2
X	21705972	21758163	SMPX
X	21839636	21885424	MBTPS2
X	21855987	21858727	YY2
X	21940573	21994835	SMS
X	22032441	22251310	PHEX
X	23075758	23076767	FAM3C2
X	23334016	23404372	PTCHD1
X	23664262	23686399	PRDX4
X	23702253	23766475	ACOT9
X	23783173	23786226	SAT1
X	23833353	23907934	APOO
X	23983720	24027186	KLHL15
X	24054716	24077971	EIF2S3
X	24149173	24216255	ZFX
X	24465221	24539837	PDK3
X	24545516	24550466	AC004656.1
X	24558087	24672677	PCYT1B
X	24693919	24996986	POLA1
X	25003694	25016420	ARX
X	28587399	29956723	IL1RAPL1
X	30558824	30577844	CXorf21
X	30653359	30731456	GK
X	30827442	30975084	TAB3
X	31097677	33339441	DMD
X	34627064	34657288	TMEM47
X	35919734	36385319	CFAP47
X	37349275	37457295	PRRG1
X	37571569	37684463	LANCL3
X	37685759	37732130	XK
X	37780011	37813461	CYBB
X	37836757	37847637	DYNLT3
X	38006582	38128819	SYTL5
X	38149336	38220924	SRPX
X	38269163	38327564	RPGR
X	38561370	38688920	TSPAN7
X	38801432	38806537	MID1IP1
X	40049815	40177329	BCOR
X	40579372	40606848	ATP6AP2
X	40626921	40647554	CXorf38
X	40648306	40735858	MED14
X	41085635	41236579	USP9X
X	41333348	41364472	DDX3X
X	41514934	41923463	CASK
X	41688973	41697277	GPR34
X	43654907	43746824	MAOA
X	43766611	43882447	MAOB
X	43948776	43973504	NDP
X	44147882	44343672	EFHC2
X	44523639	44543001	FUNDC1
X	44873177	45112602	KDM6A
X	45148374	45200901	CXorf36
X	45745211	45770274	MIR222HG
X	46446857	46497422	KRBOX4
X	46497727	46545457	ZNF674
X	46545493	46548408	ZNF674-AS1
X	46573784	46598408	CHST7
X	46599252	46759172	SLC9A7
X	46836940	46882358	RP2
X	46912276	47061242	JADE3
X	47078355	47093314	RGN
X	47142216	47145504	NDUFB11
X	47144869	47186813	RBM10
X	47190861	47215128	UBA1
X	47217860	47229997	CDK16
X	47232690	47248328	USP11
X	47370583	47414305	ZNF157
X	47445879	47482946	ZNF41
X	47483571	47484823	LINC01560
X	47561100	47571920	ARAF
X	47571898	47619943	SYN1
X	47582313	47586789	TIMP1
X	47623172	47630305	CFP
X	47635521	47650604	ELK1
X	47651798	47659161	UXT
X	47836902	48002561	ZNF81
X	47974851	48003978	ZNF182
X	47983356	48071658	ZNF630
X	48458537	48470256	SLC38A5
X	48476021	48486364	FTSJ1
X	48508962	48520814	PORCN
X	48521158	48528716	EBP
X	48539457	48562609	TBC1D25
X	48574449	48579066	RBM3
X	48580741	48581165	AC115618.3
X	48590042	48608867	WDR13
X	48676596	48691427	WAS
X	48695554	48709012	SUV39H1
X	48801377	48824982	HDAC6
X	48831094	48835633	PCSK1N
X	48893447	48898143	TIMM17B
X	48897912	48903143	PQBP1
X	48903180	48911958	SLC35A2
X	48913182	48919024	PIM2
X	48922028	48958386	OTUD5
X	48961378	48971569	KCND1
X	48973720	49002264	GRIPAP1
X	49028726	49043486	TFE3
X	49053572	49069857	CCDC120
X	49071156	49074071	PRAF2
X	49071470	49101170	WDR45
X	49113389	49123801	GPKOW
X	49162564	49168483	MAGIX
X	49171926	49175239	PLP2
X	49175264	49186528	PRICKLE3
X	49187804	49200259	SYP
X	49205063	49233371	CACNA1F
X	49235467	49250526	CCDC22
X	49250436	49264826	FOXP3
X	49269843	49301461	PPP1R3F
X	49876724	49879241	USP27X-AS1
X	49879948	49882565	USP27X
X	49922615	50099235	CLCN5
X	50202713	50351910	CCNB3
X	50591647	50814302	SHROOM4
X	51332231	51337525	NUDT10
X	51490011	51496596	NUDT11
X	51681212	51682831	CENPVL2
X	51710512	51712131	CENPVL1
X	51743431	51746232	GSPT2
X	51803007	51902357	MAGED1
X	52061827	52069248	MAGED4B
X	52184823	52192268	MAGED4
X	52891306	52908560	FAM156B
X	52926402	52995472	FAM156A
X	53049091	53080615	GPR173
X	53082367	53088540	TSPYL2
X	53094145	53170914	KANTR
X	53191321	53225422	KDM5C
X	53225828	53321328	IQSEC2
X	53374149	53422728	SMC1A
X	53422690	53431120	RIBC1
X	53431258	53434373	HSD17B10
X	53532096	53686729	HUWE1
X	53936676	54048958	PHF8
X	54068324	54183281	FAM120C
X	54192823	54358642	WNK3
X	54440401	54445487	TSR2
X	54445454	54496166	FGD1
