CHROM	GeneStart	GeneEnd	GeneName
1	944203	959240	NOC2L
1	1013467	1014478	ISG15
1	1020123	1054981	AGRN
1	1216908	1232067	SDF4
1	1253912	1273854	UBE2J2
1	1292384	1307815	ACAP3
1	1308614	1311379	PUSL1
1	1324763	1327763	CPTP
1	1335278	1349065	DVL1
1	1352689	1363541	MXRA8
1	1373730	1375438	AURKAIP1
1	1401896	1407217	MRPL20
1	1418420	1421444	ANKRD65
1	1426128	1427787	TMEM88B
1	1435523	1439787	VWA1
1	1471784	1495817	ATAD3B
1	1512143	1534072	ATAD3A
1	1534778	1540346	TMEM240
1	1541673	1574557	SSU72
1	1615415	1630530	MIB2
1	1635226	1659097	CDK11B
1	1702731	1724352	CDK11A
1	1751232	1780069	NADK
1	1785285	1891117	GNB1
1	2019329	2030282	GABRD
1	2050470	2185009	PRKCZ
1	2228695	2306765	SKI
1	2391775	2403124	RER1
1	2404802	2412502	PEX10
1	3454583	3480587	ARHGEF16
1	3624992	3628603	TPRG1L
1	3630767	3649999	WRAP73
1	3780220	3796476	LRRC47
1	3812081	3857233	CEP104
1	4655045	4783791	AJAP1
1	5992298	6098574	KCNAB2
1	6101787	6180023	CHD5
1	6185020	6199573	RPL22
1	6221193	6235911	ICMT
1	6264272	6393399	ACOT7
1	6466092	6519511	PLEKHG5
1	6521347	6554502	NOL9
1	6634168	6701800	DNAJC11
1	6785324	7766491	CAMTA1
1	7771269	7779645	VAMP3
1	7961654	7985054	PARK7
1	8318085	8344013	SLC45A1
1	8352404	8817640	RERE
1	8861000	8879092	ENO1
1	9036946	9069536	SLC2A5
1	9234804	9264869	H6PD
1	9539469	9582501	SLC25A33
1	9588874	9613083	TMEM201
1	9651732	9727046	PIK3CD
1	9729021	9823733	CLSTN1
1	9848276	9910258	CTNNBIP1
1	9929718	9942768	LZIC
1	9942923	9982701	NMNAT1
1	9997197	10015832	RBP7
1	10032983	10179956	UBE4B
1	10210706	10376587	KIF1B
1	10398992	10419749	PGD
1	10449719	10451595	CORT
1	10460546	10472458	DFFA
1	10474946	10629987	PEX14
1	11012622	11022654	TARDBP
1	11054592	11059943	SRM
1	11066613	11099831	EXOSC10
1	11106531	11262551	MTOR
1	11648361	11654340	FBXO2
1	11654375	11661305	FBXO44
1	11664093	11673851	FBXO6
1	11736085	11750192	AGTRAP
1	11762193	11789446	C1orf167
1	11785730	11806103	MTHFR
1	11806096	11840223	CLCN6
1	11919588	11926237	KIAA2013
1	11934667	11974808	PLOD1
1	11980181	12011565	MFN2
1	12230039	12509024	VPS13D
1	12567910	12617348	DHRS3
1	12847377	12848756	HNRNPCL1
1	13700240	13823184	PRDM2
1	14598717	15114635	KAZN
1	15152532	15219743	TMEM51
1	15247272	15397413	FHAD1
1	15409895	15428724	EFHD2
1	15491401	15524790	CASP9
1	15526813	15568177	DNAJC16
1	15571699	15584967	AGMAT
1	15617458	15661057	DDI2
1	15684332	15733934	PLEKHM2
1	15758760	15784661	FBLIM1
1	15847864	15939427	SPEN
1	16124337	16155932	EPHA2
1	16246840	16352491	FBXO42
1	16367030	16395140	SZRD1
1	16440672	16458996	NECAP2
1	16618256	16630906	CROCCP2
1	16921950	16972446	CROCC
1	16974504	16981586	MFAP2
1	16985958	17011738	ATP13A2
1	17018726	17054019	SDHB
1	17066761	17119371	PADI2
1	17205126	17244243	PADI1
1	17406755	17439754	RCC2
1	17539835	17697380	ARHGEF10L
1	18107746	18378326	IGSF21
1	18871430	18902523	ALDH4A1
1	18904280	18956332	IFFO2
1	19074506	19210248	UBR4
1	19215664	19251509	EMC1
1	19251581	19258830	MRTO4
1	19282563	19288709	AKR7A3
1	19302708	19312124	AKR7A2
1	19338773	19485438	CAPZB
1	19596977	19626401	MINOS1
1	19643229	19657129	NBL1
1	19682213	19799917	TMCO4
1	19882395	19907746	OTUD3
1	20186078	20191404	UBXN10
1	20482391	20485379	CAMK2N1
1	20499448	20508024	MUL1
1	20588951	20618568	CDA
1	20651767	20661401	DDOST
1	20664014	20717706	KIF17
1	20719732	20732640	SH2D5
1	20742678	20786688	HP1BP3
1	20806292	21176888	EIF4G3
1	21217247	21345378	ECE1
1	21509365	21577648	ALPL
1	21596215	21669363	RAP1GAP
1	21678299	21782957	USP48
